date,Tmean
2021-06-01,17.564663023679415
2021-06-02,19.535493827160494
2021-06-03,20.36033950617284
2021-06-04,21.344771241830067
2021-06-05,21.13966049382716
2021-06-06,22.902777777777775
2021-06-07,22.54783950617284
2021-06-08,22.845679012345677
2021-06-09,22.211111111111116
2021-06-10,21.618055555555554
2021-06-11,22.234299516908212
2021-06-12,21.202093397745575
2021-06-13,22.172143974960875
2021-06-14,21.648919753086417
2021-06-15,21.015432098765434
2021-06-16,18.5093896713615
2021-06-17,16.794753086419753
2021-06-18,19.158950617283953
2021-06-19,23.512254901960787
2021-06-20,23.009259259259263
2021-06-21,24.450617283950617
2021-06-22,20.25899843505477
2021-06-23,16.402006172839506
2021-06-24,17.918209876543212
2021-06-25,18.15805946791862
2021-06-26,21.72691705790297
2021-06-27,23.376543209876544
2021-06-28,24.300925925925924
2021-06-29,24.379629629629633
2021-06-30,24.786265432098766
2021-07-01,22.038580246913575
2021-07-02,20.712962962962962
2021-07-03,17.949074074074076
2021-07-04,19.5841049382716
2021-07-05,22.523148148148152
2021-07-06,23.640845070422532
2021-07-07,24.158179012345677
2021-07-08,22.769170579029737
2021-07-09,22.46450617283951
2021-07-10,22.197530864197528
2021-07-11,22.330246913580247
2021-07-12,23.083724569640058
2021-07-13,23.18672839506173
2021-07-14,23.10641627543036
2021-07-15,23.545524691358025
2021-07-16,23.997685185185187
2021-07-17,24.17283950617284
2021-07-18,23.443661971830984
2021-07-19,22.44287949921753
2021-07-20,21.07511737089202
2021-07-21,22.51234567901235
2021-07-22,21.53521126760564
2021-07-23,21.145833333333332
2021-07-24,23.064814814814813
2021-07-25,24.37715179968701
2021-07-26,24.398148148148152
2021-07-27,23.692901234567906
2021-07-28,24.678240740740744
2021-07-29,23.963734567901234
2021-07-30,25.876369327073558
2021-07-31,22.540123456790123
2021-08-01,23.307832422586518
2021-08-02,20.729938271604933
2021-08-03,20.5570987654321
2021-08-04,20.426984126984127
2021-08-05,20.983024691358025
2021-08-06,21.905864197530864
2021-08-07,21.968364197530864
2021-08-08,21.98688271604938
2021-08-09,23.57511737089202
2021-08-10,24.00771604938272
2021-08-11,25.49768518518518
2021-08-12,25.048611111111114
2021-08-13,25.11033950617284
2021-08-14,24.997685185185187
2021-08-15,23.035493827160494
2021-08-16,22.565727699530516
2021-08-17,21.3179012345679
2021-08-18,23.701388888888886
2021-08-19,22.539351851851855
2021-08-20,22.19598765432099
2021-08-21,21.34490740740741
2021-08-22,23.014084507042252
2021-08-23,23.575396825396822
2021-08-24,24.754428341384862
2021-08-25,24.78472222222222
2021-08-26,23.63271604938272
2021-08-27,24.844135802469136
2021-08-28,24.57021604938272
2021-08-29,23.55740740740741
2021-08-30,21.96064814814815
2021-08-31,21.614197530864196
2021-09-01,21.375771604938272
2021-09-02,19.580246913580243
2021-09-03,16.998412698412697
2021-09-04,18.439043209876544
2021-09-05,20.90740740740741
2021-09-06,21.048513302034426
2021-09-07,17.751173708920188
2021-09-08,21.644757433489826
2021-09-09,19.81481481481482
2021-09-10,17.16898148148148
2021-09-11,16.104068857589983
2021-09-12,19.778560250391237
2021-09-13,22.016666666666666
2021-09-14,21.05246913580247
2021-09-15,21.665755919854277
2021-09-16,21.405864197530864
2021-09-17,21.850308641975303
2021-09-18,21.186728395061728
2021-09-19,21.159722222222225
2021-09-20,21.872222222222224
2021-09-21,17.612654320987655
2021-09-22,19.258487654320984
2021-09-23,13.408730158730158
2021-09-24,11.80864197530864
2021-09-25,12.28638497652582
2021-09-26,15.09104938271605
2021-09-27,14.652006172839505
2021-09-28,18.174491392801254
2021-09-29,18.78240740740741
2021-09-30,17.630672926447573
2021-10-01,14.488727858293077
2021-10-02,16.122685185185187
2021-10-03,17.969135802469136
2021-10-04,19.350308641975314
2021-10-05,19.13503086419753
2021-10-06,19.596031746031752
2021-10-07,18.561815336463226
2021-10-08,17.013302034428794
2021-10-09,16.940532081377153
2021-10-10,17.316358024691358
2021-10-11,16.6875
2021-10-12,18.427469135802465
2021-10-13,19.34523809523809
2021-10-14,17.965277777777782
2021-10-15,19.87114197530864
2021-10-16,15.929783950617285
2021-10-17,10.48611111111111
2021-10-18,12.012345679012345
2021-10-19,12.772376543209877
2021-10-20,13.229166666666666
2021-10-21,12.73148148148148
2021-10-22,13.661971830985916
2021-10-23,11.719092331768387
2021-10-24,16.449074074074076
2021-10-25,16.10746812386157
2021-10-26,10.549886621315194
2021-10-27,8.658059467918623
2021-10-28,9.44679186228482
2021-10-29,13.849537037037038
2021-10-30,10.597993827160492
2021-10-31,11.777777777777779
2021-11-01,11.47530864197531
2021-11-02,5.945987654320986
2021-11-03,3.7292644757433475
2021-11-04,4.175273865414712
2021-11-05,2.5031298904538346
2021-11-06,3.1226851851851873
2021-11-07,5.982253086419753
2021-11-08,9.475743348982787
2021-11-09,10.89043209876543
2021-11-10,14.226984126984128
2021-11-11,11.429783950617285
2021-11-12,12.219135802469136
2021-11-13,4.1017214397496105
2021-11-14,2.2731481481481493
2021-11-15,3.423611111111112
2021-11-16,6.322530864197529
2021-11-17,9.284600389863549
2021-11-18,11.182316118935837
2021-11-19,2.6531746031746035
2021-11-20,-0.42052469135802384
2021-11-21,0.7955246913580262
2021-11-22,5.882716049382716
2021-11-23,-0.29761904761904706
2021-11-24,0.8888888888888897
2021-11-25,5.230709876543212
2021-11-26,4.718954248366012
2021-11-27,0.3549382716049365
2021-11-28,4.299382716049382
2021-11-29,1.9236111111111103
2021-11-30,3.225352112676055
2021-12-01,4.068672839506174
2021-12-02,9.527006172839505
