date,Q_mm,P_mm,Tmean,P_mm_filled,Tmean_filled,PET_mm,Qsim_GR4J,Qsim_GR5J,Qsim_GR6J,Qsim_mm
2021-06-23,94.89198226360409,17.779999999999998,16.402006172839506,17.779999999999998,16.402006172839506,3.7202471405964284,NA,NA,NA,NA
2021-06-24,70.74110096780488,0,17.918209876543212,0,17.918209876543212,3.9829661265575624,NA,NA,NA,NA
2021-06-25,69.69817963536586,0,18.15805946791862,0,18.15805946791862,4.023521066942989,NA,NA,NA,NA
2021-06-26,70.34524018536585,0,21.72691705790297,0,21.72691705790297,4.641953090919896,NA,NA,NA,NA
2021-06-27,73.87563518799038,0,23.376543209876544,0,23.376543209876544,4.926388918372376,NA,NA,NA,NA
2021-06-28,66.97011606146343,10.413999999999998,24.300925925925924,10.413999999999998,24.300925925925924,5.084373044765086,NA,NA,NA,NA
2021-06-29,65.11243845466144,0,24.379629629629633,0,24.379629629629633,5.095170711381623,NA,NA,NA,NA
2021-06-30,33.10634478529081,0,24.786265432098766,0,24.786265432098766,5.162431477483624,NA,NA,NA,NA
2021-07-01,NA,NA,NA,0,24.333641975308645,5.080418262852629,NA,NA,NA,NA
2021-07-02,NA,NA,NA,0,23.88101851851852,4.998164917802773,NA,NA,NA,NA
2021-07-03,NA,NA,NA,0,23.4283950617284,4.915687985905975,NA,NA,NA,NA
2021-07-04,NA,NA,NA,0,22.975771604938274,4.83300399017701,NA,NA,NA,NA
2021-07-05,103.71792341740363,0,22.523148148148152,0,22.523148148148152,4.750129435331318,NA,NA,NA,NA
2021-07-06,100.93034936085367,0,23.640845070422532,0,23.640845070422532,4.9378111409487095,NA,NA,NA,NA
2021-07-07,100.56965343585367,0,24.158179012345677,0,24.158179012345677,5.02133638070017,NA,NA,NA,NA
2021-07-08,107.21977112195123,0,22.769170579029737,0,22.769170579029737,4.776402895311912,NA,NA,NA,NA
2021-07-09,97.70037840465473,1.5239999999999998,22.46450617283951,1.5239999999999998,22.46450617283951,4.717997546226958,NA,NA,NA,NA
2021-07-10,80.77380561439026,3.048,22.197530864197528,3.048,22.197530864197528,4.6658620194868785,NA,NA,NA,NA
2021-07-11,100.86606433243904,24.637999999999998,22.330246913580247,24.637999999999998,22.330246913580247,4.681995207845552,NA,NA,NA,NA
2021-07-12,81.10765404146342,0.7619999999999999,23.083724569640058,0.7619999999999999,23.083724569640058,4.80391678486951,NA,NA,NA,NA
2021-07-13,76.11501912806415,0.508,23.18672839506173,0.508,23.18672839506173,4.814010420132095,NA,NA,NA,NA
2021-07-14,74.1955139023708,5.588,23.10641627543036,5.588,23.10641627543036,4.792448873645379,NA,NA,NA,NA
2021-07-15,67.51865409613193,0,23.545524691358025,0,23.545524691358025,4.859008084837475,NA,NA,NA,NA
2021-07-16,67.95288367024392,0,23.997685185185187,0,23.997685185185187,4.927178028184087,NA,NA,NA,NA
2021-07-17,65.83545851707318,0,24.17283950617284,0,24.17283950617284,4.947736285302547,NA,NA,NA,NA
2021-07-18,44.32888342912893,0,23.443661971830984,0,23.443661971830984,4.814749253859421,NA,NA,NA,NA
2021-07-19,3.750864657804879,0,22.44287949921753,0,22.44287949921753,4.636020987509831,NA,NA,NA,NA
