date,P_mm_filled,Tmean_filled,PET_mm,Q_mm,Qsim_HBV
2021-06-23,17.779999999999998,16.402006172839506,2.802346779355536,94.89198226360409,0.08190331332421247
2021-06-24,0,17.918209876543212,3.0687419833638265,70.74110096780488,0.028657236189756283
2021-06-25,0,18.15805946791862,3.1123771163766425,69.69817963536586,0.010022441203624131
2021-06-26,0,21.72691705790297,3.835912301714916,70.34524018536585,0.0049568597281505295
2021-06-27,0,23.376543209876544,4.215820016200363,73.87563518799038,0.0034681479310371016
2021-06-28,10.413999999999998,24.300925925925924,4.441708892773097,66.97011606146343,0.13181801594127415
2021-06-29,0,24.379629629629633,4.459750307702187,65.11243845466144,0.04613232916654252
2021-06-30,0,24.786265432098766,4.561293807231436,33.10634478529081,0.016142932356177826
2021-07-01,0,24.333641975308645,4.443785329159285,NA,0.005950482407342714
2021-07-02,0,23.88101851851852,4.328650171117211,NA,0.0041646006958181705
2021-07-03,0,23.4283950617284,4.215860452424748,NA,0.002914593508485069
2021-07-04,0,22.975771604938274,4.105388131727894,NA,0.002039682066733738
2021-07-05,0,22.523148148148152,3.997205011035994,103.71792341740363,0.0014273236767599667
2021-07-06,0,23.640845070422532,4.257515095362669,100.93034936085367,9.987405382283266e-4
2021-07-07,0,24.158179012345677,4.380666216302935,100.56965343585367,6.987899649537962e-4
2021-07-08,0,22.769170579029737,4.043425645621348,107.21977112195123,4.888735858434496e-4
2021-07-09,1.5239999999999998,22.46450617283951,3.9694260201502516,97.70037840465473,3.5444598423822337e-4
2021-07-10,3.048,22.197530864197528,3.9048625208263856,80.77380561439026,3.8859400204479985e-4
2021-07-11,24.637999999999998,22.330246913580247,3.930480053791982,100.86606433243904,4.968134653147304
2021-07-12,0.7619999999999999,23.083724569640058,4.09930372032245,81.10765404146342,1.7579056753347102
2021-07-13,0.508,23.18672839506173,4.118527268942054,76.11501912806415,0.622481057663598
2021-07-14,5.588,23.10641627543036,4.094496491762961,74.1955139023708,0.4049456189612522
2021-07-15,0,23.545524691358025,4.192872135988309,67.51865409613193,0.14173066730392916
2021-07-16,0,23.997685185185187,4.296193252036057,67.95288367024392,0.04960547890474104
2021-07-17,0,24.17283950617284,4.33293061919258,65.83545851707318,0.017361700976773004
2021-07-18,0,23.443661971830984,4.15087801079176,44.32888342912893,0.006151067802657341
2021-07-19,0,22.44287949921753,3.913817091090635,3.750864657804879,0.00430570026460981
2021-07-20,0,21.07511737089202,3.6107271978318987,3.0826406173170735,0.0030139500331285646
2021-07-21,0,22.51234567901235,3.9169320896612705,4.335774286829269,0.00210973086461163
2021-07-22,0,21.53521126760564,3.696168649811613,42.65352832094826,0.0014767825455149273
2021-07-23,0,21.145833333333332,3.607459470397502,46.91042313807949,0.0010337230599029227
2021-07-24,0,23.064814814814813,4.0221380699349165,46.30309756609756,7.23585110231755e-4
2021-07-25,0.508,24.37715179968701,4.3260551510749785,46.38209759656149,5.125376138820532e-4
2021-07-26,0,24.398148148148152,4.323154236083706,68.4085877385366,3.587611082181405e-4
2021-07-27,12.446,23.692901234567906,4.14567064579713,68.32769951560975,0.0661810063168846
2021-07-28,0,24.678240740740744,4.375250578346341,52.91038373490897,0.02316331561412548
2021-07-29,0,23.963734567901234,4.19342485415596,44.87841637317073,0.008107129330876189
2021-07-30,0,25.876369327073558,4.66115264386704,37.20298695804879,0.004656315749709735
2021-07-31,0,22.540123456790123,3.8501733794314847,25.40043505471976,0.0032594142419196228
2021-08-01,0,23.307832422586518,4.0146457755199965,16.669278951794634,0.002281584198947201
2021-08-02,0,20.729938271604933,3.4526471313249694,6.741590714458536,0.0015971040302144733
2021-08-03,0,20.5570987654321,3.4105227295161886,3.8417767568341468,0.0011179686448762605
2021-08-04,0,20.426984126984127,3.3771502973049183,2.741643323394023,7.825744985329667e-4
2021-08-05,0,20.983024691358025,3.4804280331481303,0.5876271799147195,5.477991264321505e-4
2021-08-06,0,21.905864197530864,3.6630527863005797,0.32216309634146345,3.83456817137232e-4
2021-08-07,0,21.968364197530864,3.6676495195132337,0.25598079951219516,2.6841758445937257e-4
2021-08-08,0,21.98688271604938,3.6628103617238326,0.17811675876513733,1.878904481192745e-4
2021-08-09,0,23.57511737089202,4.002157351767573,0.08887713000000001,1.315217304737312e-4
2021-08-10,0,24.00771604938272,4.091739046769949,0.06426583463414634,9.206386444820162e-5
2021-08-11,0,25.49768518518518,4.439533516991723,0.11050279933140032,6.444355928016888e-5
2021-08-12,0,25.048611111111114,4.317976823839211,0.12048364209652312,4.510951670160322e-5
2021-08-13,0,25.11033950617284,4.321926427511315,6.0084227951645675,3.1575832404600464e-5
2021-08-14,24.13,24.997685185185187,4.283488403418059,18.138456055243907,1.3241704246424477
2021-08-15,1.016,23.035493827160494,3.8220230936106403,20.11583171261049,0.4871427081576209
2021-08-16,3.8100000000000005,22.565727699530516,3.710645862068146,41.88006532756098,0.29983593083979876
2021-08-17,5.842,21.3179012345679,3.443626941307659,65.43380747634147,0.5377177869732035
2021-08-18,60.198,23.701388888888886,3.9381573134896986,125.12272535487806,29.116559985510115
2021-08-19,1.27,22.539351851851855,3.6749840819213295,63.3627425795122,10.75983071656451
2021-08-20,14.732000000000001,22.19598765432099,3.5931635048402897,60.757165415930416,8.903223315756717
2021-08-21,0,21.34490740740741,3.4111912984746477,56.019352378536595,3.1161281597865327
2021-08-22,1.5239999999999998,23.014084507042252,3.7447677007775715,57.43295072341465,1.493385095804116
2021-08-23,0,23.575396825396822,3.855673100990281,60.36668894341464,0.5226847829890136
