"Location Properties"
"Location Name = default-19065094"
"Location ID = 5895261806657536"
"Latitude = 40.58833 °"
"Longitude = -105.06587 °"
"Time shown in UTC"
""
""
"Date Time","Baro (psi)"
"2021-09-21 13:30:00.000","13.797440016605908"
"2021-09-21 13:45:00.000","13.797440016605908"
"2021-09-21 14:00:00.000","13.79598963922584"
"2021-09-21 14:15:00.000","13.790188129705559"
"2021-09-21 14:30:00.000","13.78583699756535"
"2021-09-21 14:45:00.000","13.78148586542514"
"2021-09-21 15:00:00.000","13.78003548804507"
"2021-09-21 15:15:00.000","13.778585110665"
"2021-09-21 15:30:00.000","13.78003548804507"
"2021-09-21 15:45:00.000","13.778585110665"
"2021-09-21 16:00:00.000","13.77423397852479"
"2021-09-21 16:15:00.000","13.77278360114472"
"2021-09-21 16:30:00.000","13.76698209162444"
"2021-09-21 16:45:00.000","13.76553171424437"
"2021-09-21 17:00:00.000","13.76118058210416"
"2021-09-21 17:15:00.000","13.759730204724091"
"2021-09-21 17:30:00.000","13.759730204724091"
"2021-09-21 17:45:00.000","13.75682944996395"
"2021-09-21 18:00:00.000","13.75682944996395"
"2021-09-21 18:15:00.000","13.75682944996395"
"2021-09-21 18:30:00.000","13.758279827344019"
"2021-09-21 18:45:00.000","13.758279827344019"
"2021-09-21 19:00:00.000","13.759730204724091"
"2021-09-21 19:15:00.000","13.75682944996395"
"2021-09-21 19:30:00.000","13.75537907258388"
"2021-09-21 19:45:00.000","13.75247831782374"
"2021-09-21 20:00:00.000","13.75102794044367"
"2021-09-21 20:15:00.000","13.7495775630636"
"2021-09-21 20:30:00.000","13.7495775630636"
"2021-09-21 20:45:00.000","13.74522643092339"
"2021-09-21 21:00:00.000","13.74812718568353"
"2021-09-21 21:15:00.000","13.74812718568353"
"2021-09-21 21:30:00.000","13.7495775630636"
"2021-09-21 21:45:00.000","13.7495775630636"
"2021-09-21 22:00:00.000","13.74812718568353"
"2021-09-21 22:15:00.000","13.746676808303459"
"2021-09-21 22:30:00.000","13.74812718568353"
"2021-09-21 22:45:00.000","13.746676808303459"
"2021-09-21 23:00:00.000","13.74377605354332"
"2021-09-21 23:15:00.000","13.742325676163249"
"2021-09-21 23:30:00.000","13.742325676163249"
"2021-09-21 23:45:00.000","13.74087529878318"
"2021-09-22 00:00:00.000","13.73797454402304"
"2021-09-22 00:15:00.000","13.7350737892629"
"2021-09-22 00:30:00.000","13.73217303450276"
"2021-09-22 00:45:00.000","13.72927227974262"
"2021-09-22 01:00:00.000","13.72637152498248"
"2021-09-22 01:15:00.000","13.7205700154622"
"2021-09-22 01:30:00.000","13.71766926070206"
"2021-09-22 01:45:00.000","13.714768505941919"
"2021-09-22 02:00:00.000","13.71331812856185"
"2021-09-22 02:15:00.000","13.70896699642164"
"2021-09-22 02:30:00.000","13.7060662416615"
"2021-09-22 02:45:00.000","13.701715109521292"
"2021-09-22 03:00:00.000","13.701715109521292"
"2021-09-22 03:15:00.000","13.698814354761149"
"2021-09-22 03:30:00.000","13.69446322262094"
"2021-09-22 03:45:00.000","13.6915624678608"
"2021-09-22 04:00:00.000","13.6915624678608"
"2021-09-22 04:15:00.000","13.68866171310066"
"2021-09-22 04:30:00.000","13.68721133572059"
"2021-09-22 04:45:00.000","13.68431058096045"
"2021-09-22 05:00:00.000","13.68431058096045"
"2021-09-22 05:15:00.000","13.68140982620031"
"2021-09-22 05:30:00.000","13.682860203580379"
"2021-09-22 05:45:00.000","13.67850907144017"
"2021-09-22 06:00:00.000","13.67850907144017"
"2021-09-22 06:15:00.000","13.675608316680028"
"2021-09-22 06:30:00.000","13.67415793929996"
"2021-09-22 06:45:00.000","13.67415793929996"
"2021-09-22 07:00:00.000","13.6770586940601"
"2021-09-22 07:15:00.000","13.6770586940601"
"2021-09-22 07:30:00.000","13.6770586940601"
"2021-09-22 07:45:00.000","13.6770586940601"
"2021-09-22 08:00:00.000","13.67415793929996"
"2021-09-22 08:15:00.000","13.66980680715975"
"2021-09-22 08:30:00.000","13.66835642977968"
"2021-09-22 08:45:00.000","13.66835642977968"
"2021-09-22 09:00:00.000","13.66835642977968"
"2021-09-22 09:15:00.000","13.66400529763947"
"2021-09-22 09:30:00.000","13.662554920259401"
"2021-09-22 09:45:00.000","13.661104542879329"
"2021-09-22 10:00:00.000","13.661104542879329"
"2021-09-22 10:15:00.000","13.661104542879329"
"2021-09-22 10:30:00.000","13.658203788119192"
"2021-09-22 10:45:00.000","13.655303033359049"
"2021-09-22 11:00:00.000","13.65240227859891"
"2021-09-22 11:15:00.000","13.65240227859891"
"2021-09-22 11:30:00.000","13.6480511464587"
"2021-09-22 11:45:00.000","13.64224963693842"
"2021-09-22 12:00:00.000","13.639348882178279"
"2021-09-22 12:15:00.000","13.634997750038071"
"2021-09-22 12:30:00.000","13.63644812741814"
"2021-09-22 12:45:00.000","13.633547372658"
"2021-09-22 13:00:00.000","13.62919624051779"
"2021-09-22 13:15:00.000","13.623394730997509"
"2021-09-22 13:30:00.000","13.62049397623737"
"2021-09-22 13:45:00.000","13.619043598857301"
"2021-09-22 14:00:00.000","13.616142844097158"
"2021-09-22 14:15:00.000","13.611791711956949"
"2021-09-22 14:30:00.000","13.60889095719681"
"2021-09-22 14:45:00.000","13.60599020243667"
"2021-09-22 15:00:00.000","13.60889095719681"
"2021-09-22 15:15:00.000","13.60889095719681"
"2021-09-22 15:30:00.000","13.61034133457688"
"2021-09-22 15:45:00.000","13.62629548575765"
"2021-09-22 16:00:00.000","13.62919624051779"
"2021-09-22 16:15:00.000","13.62629548575765"
"2021-09-22 16:30:00.000","13.62629548575765"
"2021-09-22 16:45:00.000","13.627745863137719"
"2021-09-22 17:00:00.000","13.63064661789786"
"2021-09-22 17:15:00.000","13.627745863137719"
"2021-09-22 17:30:00.000","13.63064661789786"
"2021-09-22 17:45:00.000","13.633547372658"
"2021-09-22 18:00:00.000","13.62629548575765"
"2021-09-22 18:15:00.000","13.63064661789786"
"2021-09-22 18:30:00.000","13.627745863137719"
"2021-09-22 18:45:00.000","13.62919624051779"
"2021-09-22 19:00:00.000","13.62629548575765"
"2021-09-22 19:15:00.000","13.627745863137719"
"2021-09-22 19:30:00.000","13.627745863137719"
"2021-09-22 19:45:00.000","13.63064661789786"
"2021-09-22 20:00:00.000","13.632096995277928"
"2021-09-22 20:15:00.000","13.63644812741814"
"2021-09-22 20:30:00.000","13.63644812741814"
"2021-09-22 20:45:00.000","13.64079925955835"
"2021-09-22 21:00:00.000","13.64370001431849"
"2021-09-22 21:15:00.000","13.64224963693842"
"2021-09-22 21:30:00.000","13.634997750038071"
"2021-09-22 21:45:00.000","13.639348882178279"
"2021-09-22 22:00:00.000","13.64079925955835"
"2021-09-22 22:15:00.000","13.64224963693842"
"2021-09-22 22:30:00.000","13.645150391698559"
"2021-09-22 22:45:00.000","13.64224963693842"
"2021-09-22 23:00:00.000","13.64370001431849"
"2021-09-22 23:15:00.000","13.645150391698559"
"2021-09-22 23:30:00.000","13.64370001431849"
"2021-09-22 23:45:00.000","13.639348882178279"
"2021-09-23 00:00:00.000","13.64079925955835"
"2021-09-23 00:15:00.000","13.639348882178279"
"2021-09-23 00:30:00.000","13.63789850479821"
"2021-09-23 00:45:00.000","13.634997750038071"
"2021-09-23 01:00:00.000","13.62919624051779"
"2021-09-23 01:15:00.000","13.63064661789786"
"2021-09-23 01:30:00.000","13.632096995277928"
